product_id,price,price_percentage_change_24h,volume_24h,volume_percentage_change_24h,base_increment,quote_increment,quote_min_size,quote_max_size,base_min_size,base_max_size,base_name,quote_name,watched,is_disabled,new,status,cancel_only,limit_only,post_only,trading_disabled,auction_mode,product_type,quote_currency_id,base_currency_id,fcm_trading_session_details,mid_market_price,alias,alias_to,base_display_symbol,quote_display_symbol,view_only,price_increment,display_name,product_venue,approximate_quote_24h_volume,new_at,market_cap,base_cbrn,quote_cbrn,product_cbrn,icon_color,icon_url,display_name_overwrite,is_alpha_testing,about_description
CVC-USD,0.0317,0.31645569620253,974045.5,281.60241236678819,0.1,0.0001,1,10000000,0.1,99359800,Civic,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,CVC,,,,['CVC-USDC'],CVC,USD,False,0.0001,CVC-USD,CBE,30877.24,2023-01-01T00:00:00Z,,,,,,,,False,
CVC-USDC,0.0317,0.31645569620253,974045.5,281.60241236678819,0.1,0.0001,1,10000000,0.1,99359800,Civic,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,CVC,,,CVC-USD,[],CVC,USD,False,0.0001,CVC-USDC,CBE,30877.24,2023-01-01T00:00:00Z,,,,,,,,False,
AUDIO-USD,0.0198,0,1551841.1,66.76072275393988,0.1,0.0001,1,10000000,0.1,39160600,Audius,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,AUDIO,,,,['AUDIO-USDC'],AUDIO,USD,False,0.0001,AUDIO-USD,CBE,30726.45,2023-01-01T00:00:00Z,,,,,,,,False,
AUDIO-USDC,0.0198,0,1551841.1,66.76072275393988,0.1,0.0001,1,10000000,0.1,39160600,Audius,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,AUDIO,,,AUDIO-USD,[],AUDIO,USD,False,0.0001,AUDIO-USDC,CBE,30726.45,2023-01-01T00:00:00Z,,,,,,,,False,
DOGINME-USD,0.0001075,-1.82648401826484,284140624,50.91571283000736,1,0.0000001,1,10000000,1,10558977004.5448662675273178,doginme,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,DOGINME,,,,['DOGINME-USDC'],DOGINME,USD,False,0.0000001,DOGINME-USD,CBE,30545.12,2025-03-31T16:00:00.040Z,,,,,,,,False,
DOGINME-USDC,0.0001075,-1.82648401826484,284140624,50.91571283000736,1,0.0000001,1,10000000,1,10558977004.5448662675273178,doginme,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,DOGINME,,,DOGINME-USD,[],DOGINME,USD,False,0.0000001,DOGINME-USDC,CBE,30545.12,2025-03-31T16:00:00.040Z,,,,,,,,False,
BAND-USD,0.223,-0.44642857142857,131740.96,70.76391212164773,0.01,0.001,1,10000000,0.01,6102200,Band Protocol,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,BAND,,,,['BAND-USDC'],BAND,USD,False,0.001,BAND-USD,CBE,29378.23,2023-01-01T00:00:00Z,,,,,,,,False,
BAND-USDC,0.223,-0.44642857142857,131740.96,70.76391212164773,0.01,0.001,1,10000000,0.01,6102200,Band Protocol,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,BAND,,,BAND-USD,[],BAND,USD,False,0.001,BAND-USDC,CBE,29378.23,2023-01-01T00:00:00Z,,,,,,,,False,
BREV-USD,0.1247,-1.5785319652723,230834.5,199.21655348344639,0.1,0.0001,1,10000000,0.1,29402115.8482869883879733,Brevis,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,BREV,,,,['BREV-USDC'],BREV,USD,False,0.0001,BREV-USD,CBE,28785.06,2026-01-06T19:43:02.264Z,,,,,,,,False,
BREV-USDC,0.1247,-1.5785319652723,230834.5,199.21655348344639,0.1,0.0001,1,10000000,0.1,29402115.8482869883879733,Brevis,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,BREV,,,BREV-USD,[],BREV,USD,False,0.0001,BREV-USDC,CBE,28785.06,2026-01-06T19:43:02.264Z,,,,,,,,False,
EUL-USD,0.883,-2.10643015521064,32296.824,3.8807288216702,0.001,0.001,1,10000000,0.001,904201.8417969965266455,Euler,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,EUL,,,,['EUL-USDC'],EUL,USD,False,0.001,EUL-USD,CBE,28518.1,2025-08-05T16:05:00.023Z,,,,,,,,False,
EUL-USDC,0.883,-2.10643015521064,32296.824,3.8807288216702,0.001,0.001,1,10000000,0.001,904201.8417969965266455,Euler,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,EUL,,,EUL-USD,[],EUL,USD,False,0.001,EUL-USDC,CBE,28518.1,2025-08-05T16:05:00.023Z,,,,,,,,False,
